,long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
391,-73.9738410069766,40.7691686156505,5F-PM-1007-06,05F,PM,10072018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,jumping on fence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,POINT (-73.9738410069766 40.7691686156505),NA,19,4,19,13
392,-73.9545929242174,40.7986940168685,42D-AM-1014-02,42D,AM,10142018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",Gray & Cinnamon selected as Primary. White selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9545929242174 40.7986940168685),NA,19,4,19,13
393,-73.9765016413674,40.7740672862953,9A-AM-1013-06,09A,AM,10132018,6,Juvenile,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9765016413674 40.7740672862953),NA,19,4,19,13
394,-73.954092292214,40.7979800395433,41E-PM-1013-05,41E,PM,10132018,5,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White",White tail,Above Ground,10,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.954092292214 40.7979800395433),NA,19,4,19,13
395,-73.9728871061191,40.7712983658944,8F-PM-1012-08,08F,PM,10122018,8,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Above Ground,10,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9728871061191 40.7712983658944),NA,19,4,19,13
396,-73.9785353775382,40.7674923683184,2C-PM-1013-01,02C,PM,10132018,1,Adult,Gray,White,Gray+White,NA,Ground Plane,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9785353775382 40.7674923683184),NA,19,4,19,13
397,-73.9613351649026,40.7909866851357,31D-AM-1014-03,31D,AM,10142018,3,NA,Gray,White,Gray+White,NA,Ground Plane,FALSE,Undergrowth,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9613351649026 40.7909866851357),NA,19,4,19,13
398,-73.9557399927792,40.7971563708988,40D-PM-1013-07,40D,PM,10132018,7,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9557399927792 40.7971563708988),NA,19,4,19,13
399,-73.956806913988,40.7987736900857,41C-AM-1017-06,41C,AM,10172018,6,Adult,Gray,NA,Gray+,NA,Above Ground,4,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.956806913988 40.7987736900857),NA,19,4,19,13
400,-73.9765758043111,40.7713803154032,6C-AM-1007-03,06C,AM,10072018,3,Adult,Gray,White,Gray+White,NA,Above Ground,8,another tree,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9765758043111 40.7713803154032),NA,19,4,19,13
